IDCLIENTE;RUT;NOMBRE;APELLIDOPATERNO;APELLIDOMATERNO;TELEFONO;EMAIL;DIRECCION;CIUDAD;CODIGOPOSTAL;FECHAREGISTRO;ESTADO;RUT_CIFRADO;EMAIL_CIFRADO
22721;XX.XXX.XXX-X;Miguel;Espinoza;NO DISPONIBLE;NO DISPONIBLE;kgqpvitm181@demo.net;Calle José Miguel Carrera 9419;Temuco;9198;2020-02-17;Descartado;XX.XXX.XXX-X;kgqpvitm181@demo.net
25765;XX.XXX.XXX-X;Salvador;Rentería;Manrique;+56922460743;NO DISPONIBLE;Calle Bolívar 1739 dpto. 366;Coronel;4639;2020-02-03;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
20998;XX.XXX.XXX-X;Lucas, Núñez;NO DISPONIBLE;NO DISPONIBLE;+56963012232;moeqjoaad175@testmail.org;Avenida Rivadavia 4136;Puente Alto;6844;2019-12-31;Descartado;XX.XXX.XXX-X;moeqjoaad175@testmail.org
21941;XX.XXX.XXX-X;Roberto;Ruiz;NO DISPONIBLE;NO DISPONIBLE;mvuylbgzjc439@demo.net;Avenida Bolívar 291;Machalí;1237;2019-12-18;Descartado;XX.XXX.XXX-X;mvuylbgzjc439@demo.net
22388;XX.XXX.XXX-X;Guadalupe, Alvarado;NO DISPONIBLE;NO DISPONIBLE;+56930133705;uvnau896@sample.cl;NO DISPONIBLE;Calama;5813;2019-12-16;Descartado;XX.XXX.XXX-X;uvnau896@sample.cl
22513;XX.XXX.XXX-X;Berta, Valdez;NO DISPONIBLE;NO DISPONIBLE;+56967800014;wgbets894@example.com;Avenida Larraín 5646 dpto. 2433;Talca;4964;2019-12-12;Descartado;XX.XXX.XXX-X;wgbets894@example.com
24582;XX.XXX.XXX-X;Fernando;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;kimnxpv115@testmail.org;Camino Mitre 8088;Talca;7660;2019-11-25;Descartado;XX.XXX.XXX-X;kimnxpv115@testmail.org
22296;XX.XXX.XXX-X;Manuela;Fernández;NO DISPONIBLE;+56978678895;lmbkyso777@example.com;Calle Alvear 3214 dpto. 401;Los Ángeles;8647;2019-11-09;Descartado;XX.XXX.XXX-X;lmbkyso777@example.com
25299;XX.XXX.XXX-X;Carolina, Silva, Cruz;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;svkitgpll633@testmail.org;Avenida Alvear 5360;Calama;3158;2019-11-06;Descartado;XX.XXX.XXX-X;svkitgpll633@testmail.org
22057;XX.XXX.XXX-X;Nicolás;NO DISPONIBLE;NO DISPONIBLE;+56974898095;jpskjnyz994@example.com;Avenida San Martín 7391;Cauquenes;8026;2019-10-23;Descartado;XX.XXX.XXX-X;jpskjnyz994@example.com
20880;XX.XXX.XXX-X;Daniel;Campos;Cervantes;NO DISPONIBLE;zmyhpps397@mailserver.io;Camino Moreno 7771;Calama;4962;2019-10-22;Descartado;XX.XXX.XXX-X;zmyhpps397@mailserver.io
21962;XX.XXX.XXX-X;Ricardo;NO DISPONIBLE;NO DISPONIBLE;+56910274597;toatyuj189@testmail.org;NO DISPONIBLE;Vallenar;4975;2019-08-18;Descartado;XX.XXX.XXX-X;toatyuj189@testmail.org
25181;XX.XXX.XXX-X;Javier;García;NO DISPONIBLE;+56918864791;rigrx855@demo.net;Camino OHiggins 395 dpto. 1349;Punta Arenas;5568;2019-06-24;Descartado;XX.XXX.XXX-X;rigrx855@demo.net
21265;XX.XXX.XXX-X;Mónica;Padilla;Pacheco;+56999699531;wfmtjt947@example.com;Camino San Martín 7127 dpto. 1078;San Fernando;9285;2019-06-10;Descartado;XX.XXX.XXX-X;wfmtjt947@example.com
21570;XX.XXX.XXX-X;Lucas;Palacios;Estrada;+56938033044;vuonko809@demo.net;Avenida Las Heras 8986;Curicó;2069;2019-06-01;Descartado;XX.XXX.XXX-X;vuonko809@demo.net
22354;XX.XXX.XXX-X;Enrique, Jiménez, Villanueva;NO DISPONIBLE;NO DISPONIBLE;+56932336641;vwmgqzlivs106@testmail.org;Camino José Miguel Carrera 5382;San Felipe;1184;2019-05-05;Descartado;XX.XXX.XXX-X;vwmgqzlivs106@testmail.org
22720;XX.XXX.XXX-X;Jorge;Mejía;Chávez;+56949571676;uhjnwmpzzu286@mailserver.io;Camino OHiggins 609 dpto. 2157;Curicó;3761;2019-05-03;Descartado;XX.XXX.XXX-X;uhjnwmpzzu286@mailserver.io
24257;XX.XXX.XXX-X;Alicia;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;mrpeshigk821@sample.cl;Camino Colón 2131 dpto. 1624;Penco;7062;2019-04-30;Descartado;XX.XXX.XXX-X;mrpeshigk821@sample.cl
23990;XX.XXX.XXX-X;Tomás;Acosta;Moreno;+56990856025;pnedenkocq876@example.com;Avenida Alvear 5203 dpto. 283;Calama;5100;2019-04-16;Descartado;XX.XXX.XXX-X;pnedenkocq876@example.com
22635;XX.XXX.XXX-X;Rebeca;Castro;Ruiz;+56919491314;erxfkbb538@mailserver.io;Avenida Colón 4535;La Serena;8047;2019-04-08;Descartado;XX.XXX.XXX-X;erxfkbb538@mailserver.io
24875;XX.XXX.XXX-X;Lucía;Moreno;Acosta;+56913452927;bpnise763@example.com;Camino Mitre 21 dpto. 158;Lota;7928;2019-03-06;Descartado;XX.XXX.XXX-X;bpnise763@example.com
22375;XX.XXX.XXX-X;Patricia;Ríos;Castillo;+56992155683;zurpi951@testmail.org;Ruta Alvear 9351 dpto. 93;Santiago;9764;2019-02-27;Descartado;XX.XXX.XXX-X;zurpi951@testmail.org
20905;XX.XXX.XXX-X;María;Benítez;Palacios;NO DISPONIBLE;wuganyb130@testmail.org;Camino San Martín 4305;Lota;4749;2019-02-17;Descartado;XX.XXX.XXX-X;wuganyb130@testmail.org
23097;XX.XXX.XXX-X;Alberto;NO DISPONIBLE;NO DISPONIBLE;+56941191149;dwgbpq274@demo.net;Ruta Alvear 7270;Talcahuano;6692;2019-02-16;Descartado;XX.XXX.XXX-X;dwgbpq274@demo.net
23782;XX.XXX.XXX-X;Eduardo;NO DISPONIBLE;NO DISPONIBLE;+56934500241;bdynbz311@example.com;Calle Artigas 6610;Padre Hurtado;1316;2019-02-15;Descartado;XX.XXX.XXX-X;bdynbz311@example.com
24456;XX.XXX.XXX-X;Estefanía;Delgado;NO DISPONIBLE;+56972371470;plydx184@demo.net;Avenida La Paz 4994;Valdivia;2883;2019-02-10;Descartado;XX.XXX.XXX-X;plydx184@demo.net
22138;XX.XXX.XXX-X;Esteban, Cruz;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;inhdxd188@example.com;Camino Belgrano 1658 dpto. 413;Iquique;6178;2019-02-02;Descartado;XX.XXX.XXX-X;inhdxd188@example.com
25548;XX.XXX.XXX-X;Ana, Ríos;NO DISPONIBLE;NO DISPONIBLE;+56962913054;jriyvgyj735@demo.net;Calle Las Heras 3712 dpto. 2435;Punta Arenas;8152;2019-01-13;Descartado;XX.XXX.XXX-X;jriyvgyj735@demo.net
22830;XX.XXX.XXX-X;Ana;Zamora;Molina;+56910713582;inthlcpks432@sample.cl;Ruta Mitre 3902 dpto. 834;Coyhaique;6682;2018-12-30;Descartado;XX.XXX.XXX-X;inthlcpks432@sample.cl
22164;XX.XXX.XXX-X;Isabel, Cervantes, Bustamante;NO DISPONIBLE;NO DISPONIBLE;+56978907480;lphru640@demo.net;Camino Sarmiento 4350;Penco;6316;2018-11-30;Descartado;XX.XXX.XXX-X;lphru640@demo.net
20891;XX.XXX.XXX-X;Irene;Gallegos;NO DISPONIBLE;+56942688711;NO DISPONIBLE;Ruta Artigas 9424 dpto. 241;Peñaflor;5174;2018-11-22;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
21140;XX.XXX.XXX-X;Mateo;Alvarez;Campos;NO DISPONIBLE;xhhqdhx283@testmail.org;Camino Las Heras 4234 dpto. 161;Quilicura;4275;2018-11-12;Descartado;XX.XXX.XXX-X;xhhqdhx283@testmail.org
25203;XX.XXX.XXX-X;Gerardo, Navarro;NO DISPONIBLE;NO DISPONIBLE;+56953722855;qeffyvlz645@demo.net;Ruta Santa Rosa 7770;Curicó;8126;2018-10-19;Descartado;XX.XXX.XXX-X;qeffyvlz645@demo.net
25602;XX.XXX.XXX-X;Isabel;NO DISPONIBLE;NO DISPONIBLE;+56938917071;ysfysf623@example.com;Ruta Colón 7830;Iquique;6102;2018-10-13;Descartado;XX.XXX.XXX-X;ysfysf623@example.com
25692;XX.XXX.XXX-X;Gabriela;NO DISPONIBLE;NO DISPONIBLE;+56910269791;gjhnkfto261@testmail.org;Camino Alvear 3699 dpto. 2270;Coronel;8047;2018-10-06;Descartado;XX.XXX.XXX-X;gjhnkfto261@testmail.org
24059;XX.XXX.XXX-X;Andrés, Blanco, Medina;NO DISPONIBLE;NO DISPONIBLE;+56956791780;pegfcuij745@testmail.org;Calle San Martín 5620;Buin;2909;2018-09-24;Descartado;XX.XXX.XXX-X;pegfcuij745@testmail.org
24728;XX.XXX.XXX-X;Mariana, Barrera;NO DISPONIBLE;NO DISPONIBLE;+56981479877;lqvhpe475@mailserver.io;Avenida La Paz 8662;Padre Hurtado;2721;2018-09-20;Descartado;XX.XXX.XXX-X;lqvhpe475@mailserver.io
23234;XX.XXX.XXX-X;Cecilia, Aguirre, Zamora;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;bpuhgb897@testmail.org;Ruta San Martín 6349;Puente Alto;4577;2018-07-19;Descartado;XX.XXX.XXX-X;bpuhgb897@testmail.org
23034;XX.XXX.XXX-X;Irene, Trejo, Palacios;NO DISPONIBLE;NO DISPONIBLE;+56920365453;gndbmylqgr575@testmail.org;Camino Mitre 9440;San Antonio;9825;2018-07-09;Descartado;XX.XXX.XXX-X;gndbmylqgr575@testmail.org
25724;XX.XXX.XXX-X;Carolina, Sánchez, Escobar;NO DISPONIBLE;NO DISPONIBLE;+56914093321;psefpbzq632@testmail.org;Avenida Colón 4977 dpto. 1205;Melipilla;6306;2018-06-23;Descartado;XX.XXX.XXX-X;psefpbzq632@testmail.org
23576;XX.XXX.XXX-X;Patricia;Villanueva;NO DISPONIBLE;+56921004383;axmnvlvj197@demo.net;Calle Rivadavia 9693 dpto. 1122;Concepción;6424;2018-06-15;Descartado;XX.XXX.XXX-X;axmnvlvj197@demo.net
21673;XX.XXX.XXX-X;Mariana, Peña;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;tmkkd377@testmail.org;Camino Bolívar 597;San Felipe;7525;2018-06-10;Descartado;XX.XXX.XXX-X;tmkkd377@testmail.org
21163;XX.XXX.XXX-X;Paula, Villanueva;NO DISPONIBLE;NO DISPONIBLE;+56962908958;bmitngscfb541@mailserver.io;Ruta Moreno 159 dpto. 1930;San Felipe;9312;2018-05-30;Descartado;XX.XXX.XXX-X;bmitngscfb541@mailserver.io
25128;XX.XXX.XXX-X;Bruno, Martínez;NO DISPONIBLE;NO DISPONIBLE;+56954904468;fnyeomx270@testmail.org;Avenida Sarmiento 3824;Arica;9641;2018-05-15;Descartado;XX.XXX.XXX-X;fnyeomx270@testmail.org
22879;XX.XXX.XXX-X;Ana, Ruiz, Pineda;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;wtkkopn962@example.com;Camino San Martín 2934 dpto. 876;Quillota;4718;2018-05-14;Descartado;XX.XXX.XXX-X;wtkkopn962@example.com
21152;XX.XXX.XXX-X;Alberto;NO DISPONIBLE;NO DISPONIBLE;+56917607959;wvdqxk436@mailserver.io;Camino José Miguel Carrera 8863 dpto. 2415;Punta Arenas;8810;2018-04-17;Descartado;XX.XXX.XXX-X;wvdqxk436@mailserver.io
22131;XX.XXX.XXX-X;Silvia;Camacho;NO DISPONIBLE;+56956653619;uzvaenmhy715@testmail.org;Calle Mitre 7404 dpto. 239;Coyhaique;9083;2018-03-31;Descartado;XX.XXX.XXX-X;uzvaenmhy715@testmail.org
22000;XX.XXX.XXX-X;María;Maldonado;Quiroga;NO DISPONIBLE;gsaoyb694@sample.cl;Ruta Colón 8478;Valdivia;5541;2018-03-18;Descartado;XX.XXX.XXX-X;gsaoyb694@sample.cl
23535;XX.XXX.XXX-X;Enrique;Paredes;Barrera;+56949514879;pflrfqpav388@example.com;Ruta Sucre 7228 dpto. 2357;Melipilla;3592;2018-03-18;Descartado;XX.XXX.XXX-X;pflrfqpav388@example.com
24984;XX.XXX.XXX-X;Marcos, Pérez, Guerrero;NO DISPONIBLE;NO DISPONIBLE;+56929656038;ivvoho283@demo.net;Avenida José Miguel Carrera 8868;Vallenar;3330;2018-03-04;Descartado;XX.XXX.XXX-X;ivvoho283@demo.net
25702;XX.XXX.XXX-X;Rosa;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;rqkhcwprhw368@sample.cl;Camino Belgrano 4167 dpto. 2102;Curicó;5099;2017-12-22;Descartado;XX.XXX.XXX-X;rqkhcwprhw368@sample.cl
24608;XX.XXX.XXX-X;Ricardo, Ruiz;NO DISPONIBLE;NO DISPONIBLE;+56976175741;NO DISPONIBLE;Avenida Yrigoyen 1186 dpto. 1929;Buin;5320;2017-12-19;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
23367;XX.XXX.XXX-X;Daniel;NO DISPONIBLE;NO DISPONIBLE;+56962368207;xhgte104@sample.cl;Calle Alvear 501;Vallenar;1403;2017-12-15;Descartado;XX.XXX.XXX-X;xhgte104@sample.cl
23268;XX.XXX.XXX-X;Carlos, Gallegos;NO DISPONIBLE;NO DISPONIBLE;+56993264013;jvuperjg791@testmail.org;Ruta La Paz 7056;Quillota;7498;2017-12-13;Descartado;XX.XXX.XXX-X;jvuperjg791@testmail.org
23764;XX.XXX.XXX-X;Jorge, Zamora, Silva;NO DISPONIBLE;NO DISPONIBLE;+56971253694;NO DISPONIBLE;Avenida Sucre 932 dpto. 2021;San Fernando;6495;2017-12-02;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
21807;XX.XXX.XXX-X;Lorena;NO DISPONIBLE;NO DISPONIBLE;+56988725144;tnwhoact118@sample.cl;Camino Rivadavia 1858;Villa Alemana;3423;2017-11-29;Descartado;XX.XXX.XXX-X;tnwhoact118@sample.cl
21718;XX.XXX.XXX-X;Salvador, García;NO DISPONIBLE;NO DISPONIBLE;+56960262398;nzuoxm357@mailserver.io;Calle Larraín 5577;Osorno;5433;2017-10-31;Descartado;XX.XXX.XXX-X;nzuoxm357@mailserver.io
23055;XX.XXX.XXX-X;Elena;Arellano;Palacios;+56955884469;bzfiqjmf648@example.com;Ruta Artigas 8296;Lo Prado;7614;2017-10-25;Descartado;XX.XXX.XXX-X;bzfiqjmf648@example.com
21392;XX.XXX.XXX-X;Andrea;NO DISPONIBLE;NO DISPONIBLE;+56987011225;imaiyrrxe996@demo.net;Calle Alvear 9293 dpto. 956;Hualpén;4589;2017-10-19;Descartado;XX.XXX.XXX-X;imaiyrrxe996@demo.net
23406;XX.XXX.XXX-X;Cecilia;Luna;NO DISPONIBLE;+56997565429;hsxrtdwj819@sample.cl;Avenida Belgrano 2379 dpto. 307;Puente Alto;5292;2017-10-16;Descartado;XX.XXX.XXX-X;hsxrtdwj819@sample.cl
22498;XX.XXX.XXX-X;Gloria, Alvarez;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;mborlskf756@sample.cl;Avenida San Martín 8254 dpto. 1529;La Pintana;6638;2017-10-08;Descartado;XX.XXX.XXX-X;mborlskf756@sample.cl
21496;XX.XXX.XXX-X;Felipe;Benítez;NO DISPONIBLE;+56964892143;NO DISPONIBLE;Avenida Moreno 9957;Arica;2567;2017-08-28;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
24010;XX.XXX.XXX-X;Miguel;Chávez;Alvarez;+56970438394;fdhqepksv556@sample.cl;NO DISPONIBLE;Vitacura;3718;2017-08-24;Descartado;XX.XXX.XXX-X;fdhqepksv556@sample.cl
21291;XX.XXX.XXX-X;Ramón;Núñez;NO DISPONIBLE;+56963238639;zwxegwu450@example.com;Calle José Miguel Carrera 2819;Valparaíso;6471;2017-08-15;Descartado;XX.XXX.XXX-X;zwxegwu450@example.com
21831;XX.XXX.XXX-X;Lucas;Castro;NO DISPONIBLE;+56928153685;sxoeyclk100@example.com;NO DISPONIBLE;Puerto Montt;2642;2017-07-29;Descartado;XX.XXX.XXX-X;sxoeyclk100@example.com
23405;XX.XXX.XXX-X;Natalia;Jiménez;Montoya;+56991843996;yinjgqrfb998@sample.cl;Calle Santa Rosa 6674 dpto. 2425;Quilicura;4127;2017-06-02;Descartado;XX.XXX.XXX-X;yinjgqrfb998@sample.cl
23981;XX.XXX.XXX-X;Carlos;Rodríguez;NO DISPONIBLE;+56960373530;kqviourcx451@demo.net;Camino José Miguel Carrera 6817 dpto. 2317;Valparaíso;1207;2017-04-29;Descartado;XX.XXX.XXX-X;kqviourcx451@demo.net
24755;XX.XXX.XXX-X;Lucía;Villanueva;Fernández;+56989552338;nlrhxiuzx100@sample.cl;Calle Yrigoyen 5909 dpto. 1420;Quillota;2592;2017-02-10;Descartado;XX.XXX.XXX-X;nlrhxiuzx100@sample.cl
23112;XX.XXX.XXX-X;Ana;NO DISPONIBLE;NO DISPONIBLE;+56937722292;livtrmy993@testmail.org;Ruta José Miguel Carrera 6323;Vitacura;2256;2017-02-07;Descartado;XX.XXX.XXX-X;livtrmy993@testmail.org
21759;XX.XXX.XXX-X;Gabriela, Pacheco, Navarro;NO DISPONIBLE;NO DISPONIBLE;+56920672800;ixgzzobc226@testmail.org;Ruta Belgrano 9652 dpto. 211;Copiapó;9842;2017-01-17;Descartado;XX.XXX.XXX-X;ixgzzobc226@testmail.org
23800;XX.XXX.XXX-X;Cecilia;Arroyo;Quintero;+56945356384;fwjwoh168@testmail.org;Camino Moreno 7622;Angol;2630;2017-01-14;Descartado;XX.XXX.XXX-X;fwjwoh168@testmail.org
22334;XX.XXX.XXX-X;Lucía, Muñoz, Soto;NO DISPONIBLE;NO DISPONIBLE;+56979327912;jiepvyb335@example.com;Camino San Martín 3913;Antofagasta;8707;2017-01-10;Descartado;XX.XXX.XXX-X;jiepvyb335@example.com
22979;XX.XXX.XXX-X;Silvia, Barrera, Martínez;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;czktvj268@testmail.org;Camino Mitre 1828 dpto. 1752;Curicó;8834;2017-01-03;Descartado;XX.XXX.XXX-X;czktvj268@testmail.org
25507;XX.XXX.XXX-X;Manuela;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;otfzddt219@testmail.org;Camino Esmeralda 6914 dpto. 802;Melipilla;5900;2016-11-13;Descartado;XX.XXX.XXX-X;otfzddt219@testmail.org
25454;XX.XXX.XXX-X;Lorena, González, Ledesma;NO DISPONIBLE;NO DISPONIBLE;+56965001731;yeeyvpkc602@mailserver.io;Camino Santa Rosa 7687;Iquique;2420;2016-11-06;Descartado;XX.XXX.XXX-X;yeeyvpkc602@mailserver.io
24632;XX.XXX.XXX-X;Natalia;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;iwcoshmh787@testmail.org;Camino Alvear 5526 dpto. 779;Maipú;6700;2016-10-08;Descartado;XX.XXX.XXX-X;iwcoshmh787@testmail.org
21175;XX.XXX.XXX-X;Lucía;Velasco;Sánchez;+56985528766;irjbhu382@sample.cl;Camino Artigas 7913 dpto. 2026;Peñaflor;5706;2016-08-27;Descartado;XX.XXX.XXX-X;irjbhu382@sample.cl
25111;XX.XXX.XXX-X;Antonio;Trejo;NO DISPONIBLE;+56912994695;vxfha778@example.com;NO DISPONIBLE;Padre Hurtado;6610;2016-08-24;Descartado;XX.XXX.XXX-X;vxfha778@example.com
22839;XX.XXX.XXX-X;Lucas, Rodríguez, Fernández;NO DISPONIBLE;NO DISPONIBLE;+56949311255;kahchfrv645@testmail.org;Camino Moreno 5498 dpto. 1413;Quillota;4936;2016-08-20;Descartado;XX.XXX.XXX-X;kahchfrv645@testmail.org
25217;XX.XXX.XXX-X;Bruno;NO DISPONIBLE;NO DISPONIBLE;+56974831408;icdoksw575@sample.cl;Camino Alvear 263 dpto. 1525;La Serena;8518;2016-08-20;Descartado;XX.XXX.XXX-X;icdoksw575@sample.cl
24134;XX.XXX.XXX-X;Elena, Del Valle, Silva;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;Calle OHiggins 8633 dpto. 2389;Lota;6478;2016-08-15;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
20817;XX.XXX.XXX-X;Cecilia;NO DISPONIBLE;NO DISPONIBLE;+56925622632;kznfhpb870@example.com;Avenida Bolívar 9483 dpto. 1317;Linares;1954;2016-08-08;Descartado;XX.XXX.XXX-X;kznfhpb870@example.com
24851;XX.XXX.XXX-X;Beatriz;Soto;NO DISPONIBLE;+56935473683;NO DISPONIBLE;Avenida Santa Rosa 1315 dpto. 2028;Penco;9743;2016-07-18;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
21563;XX.XXX.XXX-X;Mónica, Valencia;NO DISPONIBLE;NO DISPONIBLE;+56985958386;zpfmuz498@demo.net;Camino Santa Rosa 1722 dpto. 2029;Valparaíso;2472;2016-06-30;Descartado;XX.XXX.XXX-X;zpfmuz498@demo.net
22244;XX.XXX.XXX-X;Diego, Quintero, Valdez;NO DISPONIBLE;NO DISPONIBLE;+56947727344;upseztcj613@example.com;Calle Rivadavia 759;Rancagua;1332;2016-05-26;Descartado;XX.XXX.XXX-X;upseztcj613@example.com
21178;XX.XXX.XXX-X;Sebastián, Martínez;NO DISPONIBLE;NO DISPONIBLE;+56921471277;hmavst777@demo.net;Ruta Independencia 7505;Santiago;6891;2016-04-21;Descartado;XX.XXX.XXX-X;hmavst777@demo.net
25493;XX.XXX.XXX-X;Lucía, Escobar;NO DISPONIBLE;NO DISPONIBLE;+56959662312;veixzfw438@example.com;Ruta Las Heras 4228;Ovalle;7866;2016-04-08;Descartado;XX.XXX.XXX-X;veixzfw438@example.com
24264;XX.XXX.XXX-X;Silvia, Bermúdez, Quiroga;NO DISPONIBLE;NO DISPONIBLE;+56958434859;nxsupxks575@example.com;Avenida Mitre 2959;Buin;9058;2016-04-06;Descartado;XX.XXX.XXX-X;nxsupxks575@example.com
23143;XX.XXX.XXX-X;Cristina, López;NO DISPONIBLE;NO DISPONIBLE;+56976466758;cydznaoo325@testmail.org;Camino Alvear 6679 dpto. 970;El Bosque;1549;2016-03-24;Descartado;XX.XXX.XXX-X;cydznaoo325@testmail.org
24683;XX.XXX.XXX-X;Sebastián, Delgado;NO DISPONIBLE;NO DISPONIBLE;+56950480920;xzepz453@sample.cl;Ruta Belgrano 4269;El Bosque;9321;2016-03-20;Descartado;XX.XXX.XXX-X;xzepz453@sample.cl
22335;XX.XXX.XXX-X;Natalia;Gallegos;Bravo;+56960153812;reiodxf842@testmail.org;Calle Alvear 1959;Peñaflor;5397;2016-03-12;Descartado;XX.XXX.XXX-X;reiodxf842@testmail.org
23633;XX.XXX.XXX-X;Álvaro, Jiménez;NO DISPONIBLE;NO DISPONIBLE;+56946165269;rzycuy583@testmail.org;Calle San Martín 9822 dpto. 295;Ovalle;9663;2016-03-01;Descartado;XX.XXX.XXX-X;rzycuy583@testmail.org
22560;XX.XXX.XXX-X;Cecilia;Saavedra;Torres;+56958405001;agcbudn791@example.com;Avenida Larraín 6267 dpto. 1774;Providencia;7694;2016-02-29;Descartado;XX.XXX.XXX-X;agcbudn791@example.com
24955;XX.XXX.XXX-X;Rosa;Cruz;González;+56939669706;wvvgjclp756@sample.cl;Avenida Moreno 7391;El Bosque;4514;2016-01-25;Descartado;XX.XXX.XXX-X;wvvgjclp756@sample.cl
23327;XX.XXX.XXX-X;Evelyn;NO DISPONIBLE;NO DISPONIBLE;+56972865153;wkfsbb662@testmail.org;Camino Bolívar 9263;Talcahuano;4655;2016-01-19;Descartado;XX.XXX.XXX-X;wkfsbb662@testmail.org
21543;XX.XXX.XXX-X;Silvia, Luna;NO DISPONIBLE;NO DISPONIBLE;+56928634580;oglmksyto745@sample.cl;Ruta San Martín 1551;Puerto Montt;9811;2016-01-12;Descartado;XX.XXX.XXX-X;oglmksyto745@sample.cl
24887;XX.XXX.XXX-X;Francisco;NO DISPONIBLE;NO DISPONIBLE;+56946734878;NO DISPONIBLE;Ruta Mitre 3739;Talcahuano;7182;2015-12-19;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
22292;XX.XXX.XXX-X;Clara;NO DISPONIBLE;NO DISPONIBLE;+56951653968;wkvpndwas239@demo.net;Ruta La Paz 2101 dpto. 921;Penco;2394;2015-11-24;Descartado;XX.XXX.XXX-X;wkvpndwas239@demo.net
24523;XX.XXX.XXX-X;Natalia, Palacios;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;asyskziuv312@demo.net;Camino Moreno 5777 dpto. 2435;Machalí;7278;2015-11-24;Descartado;XX.XXX.XXX-X;asyskziuv312@demo.net
23712;XX.XXX.XXX-X;Ramón;NO DISPONIBLE;NO DISPONIBLE;+56991701601;cxpxetkg585@sample.cl;Ruta Santa Rosa 7702;Iquique;7026;2015-11-12;Descartado;XX.XXX.XXX-X;cxpxetkg585@sample.cl
24702;XX.XXX.XXX-X;Gabriela;NO DISPONIBLE;NO DISPONIBLE;+56929150043;xapahdyn794@sample.cl;Ruta Las Heras 607 dpto. 480;Quillota;7041;2015-11-07;Descartado;XX.XXX.XXX-X;xapahdyn794@sample.cl
23641;XX.XXX.XXX-X;Irene;Molina;NO DISPONIBLE;NO DISPONIBLE;fcxnhjtc813@demo.net;Calle Independencia 1552;Los Ángeles;8498;2015-10-23;Descartado;XX.XXX.XXX-X;fcxnhjtc813@demo.net
22887;XX.XXX.XXX-X;Lucas;NO DISPONIBLE;NO DISPONIBLE;+56953886207;pdqjxkupdp245@sample.cl;Calle Larraín 382 dpto. 2289;Vitacura;6742;2015-10-20;Descartado;XX.XXX.XXX-X;pdqjxkupdp245@sample.cl
23925;XX.XXX.XXX-X;Alan;Del Valle;Acosta;+56945285822;zkcyvbiz505@sample.cl;Calle Bolívar 2935;Chillán;5330;2015-10-07;Descartado;XX.XXX.XXX-X;zkcyvbiz505@sample.cl
21822;XX.XXX.XXX-X;Carlos;NO DISPONIBLE;NO DISPONIBLE;+56947104071;rfbmtyrwt507@demo.net;Calle Bolívar 3619 dpto. 1765;Providencia;4202;2015-10-03;Descartado;XX.XXX.XXX-X;rfbmtyrwt507@demo.net
24724;XX.XXX.XXX-X;Ramón, Benítez, Ibarra;NO DISPONIBLE;NO DISPONIBLE;+56933015882;wtivxr234@testmail.org;Calle Larraín 6927;Puente Alto;8918;2015-10-02;Descartado;XX.XXX.XXX-X;wtivxr234@testmail.org
20860;XX.XXX.XXX-X;Gloria;Valencia;Orozco;+56948059974;hfiyias637@testmail.org;Avenida Sarmiento 8255;Osorno;5053;2015-09-19;Descartado;XX.XXX.XXX-X;hfiyias637@testmail.org
24723;XX.XXX.XXX-X;Claudia, Palacios;NO DISPONIBLE;NO DISPONIBLE;+56956751723;tmcwdzn333@mailserver.io;Camino Las Heras 5597;Puente Alto;6373;2015-09-03;Descartado;XX.XXX.XXX-X;tmcwdzn333@mailserver.io
22430;XX.XXX.XXX-X;Laura;Jiménez;Valencia;+56989814466;uurjapod260@testmail.org;Ruta José Miguel Carrera 9472;Talcahuano;8838;2015-08-22;Descartado;XX.XXX.XXX-X;uurjapod260@testmail.org
23260;XX.XXX.XXX-X;Sandra;Peña;Jiménez;NO DISPONIBLE;tkqpfq880@example.com;Ruta Sucre 3987;Coyhaique;5160;2015-08-16;Descartado;XX.XXX.XXX-X;tkqpfq880@example.com
